id,age,count
92,-20,193
92,-19,691
92,-18,442
92,-17,332
92,-16,387
92,-15,249
92,-14,304
92,-13,359
92,-12,580
92,-11,442
92,-10,359
92,-9,359
92,-8,304
92,-7,304
92,-6,276
92,-5,774
92,-4,746
92,-3,1686
92,-2,829
92,-1,553
94,-20,1
94,-19,15
94,-18,3
94,-17,12
94,-16,16
94,-15,13
94,-14,7
94,-13,10
94,-12,13
94,-11,15
94,-10,17
94,-9,15
94,-8,12
94,-7,13
94,-6,13
94,-5,35
94,-4,25
94,-3,47
94,-2,25
94,-1,17
102,-19,6
102,-18,6
102,-17,6
102,-16,4
102,-15,4
102,-14,2
102,-13,5
102,-12,6
102,-11,9
102,-10,8
102,-9,7
102,-8,4
102,-7,3
102,-6,6
102,-5,8
102,-4,7
102,-3,16
102,-2,14
102,-1,11
103,-20,102
103,-19,1443
103,-18,977
103,-17,1216
103,-16,1057
103,-15,886
103,-14,932
103,-13,1091
103,-12,1364
103,-11,1239
103,-10,1102
103,-9,648
103,-8,489
103,-7,352
103,-6,375
103,-5,864
103,-4,1239
103,-3,1954
103,-2,3227
103,-1,3398
105,-20,47
105,-19,10243
105,-18,3399
105,-17,1117
105,-16,419
105,-15,559
105,-14,233
105,-13,466
105,-12,419
105,-11,372
105,-10,372
105,-9,279
105,-8,233
105,-7,419
105,-6,186
105,-5,978
105,-4,512
105,-3,326
105,-2,1071
105,-1,466
107,-19,1191
107,-18,488
107,-17,145
107,-16,43
107,-15,86
107,-14,21
107,-13,64
107,-12,59
107,-11,38
107,-10,59
107,-9,21
107,-8,54
107,-7,43
107,-6,64
107,-5,97
107,-4,54
107,-3,225
107,-2,123
107,-1,54
108,-20,68
108,-19,1015
108,-18,643
108,-17,643
108,-16,102
108,-15,338
108,-14,237
108,-13,203
108,-12,34
108,-11,609
108,-10,338
108,-9,203
108,-8,474
108,-7,102
108,-6,68
108,-5,643
108,-4,135
108,-3,1455
108,-2,812
108,-1,406
109,-20,227
109,-19,9777
109,-18,3820
109,-17,1273
109,-16,591
109,-15,591
109,-14,91
109,-13,318
109,-12,682
109,-11,682
109,-10,182
109,-9,273
109,-8,318
109,-7,728
109,-6,819
109,-5,864
109,-4,546
109,-3,1955
109,-2,1773
109,-1,455
110,-19,285
110,-18,143
110,-17,89
110,-16,45
110,-15,62
110,-14,18
110,-13,71
110,-12,125
110,-11,134
110,-10,89
110,-9,89
110,-8,71
110,-7,27
110,-6,27
110,-5,98
110,-4,98
110,-3,374
110,-2,339
110,-1,98
111,-19,18
111,-18,44
111,-17,35
111,-16,79
111,-15,18
111,-13,62
111,-12,44
111,-11,88
111,-10,70
111,-9,44
111,-8,35
111,-7,18
111,-6,26
111,-5,88
111,-4,62
111,-3,123
111,-2,44
111,-1,53
115,-19,332
115,-18,199
115,-17,133
115,-16,33
115,-13,66
115,-12,100
115,-11,199
115,-10,133
115,-9,166
115,-8,33
115,-6,66
115,-5,266
115,-4,332
115,-3,665
115,-2,233
115,-1,266
128,-20,191
128,-19,2062
128,-18,687
128,-17,458
128,-16,458
128,-15,382
128,-14,267
128,-13,382
128,-12,573
128,-11,458
128,-10,649
128,-9,611
128,-8,458
128,-7,153
128,-6,229
128,-5,726
128,-4,726
128,-3,2138
128,-2,802
128,-1,420
131,-20,28
131,-19,166
131,-18,138
131,-17,55
131,-16,55
131,-15,28
131,-14,55
131,-13,277
131,-12,55
131,-11,111
131,-10,166
131,-9,55
131,-8,28
131,-7,83
131,-6,194
131,-5,304
131,-4,194
131,-3,387
131,-2,221
131,-1,415
133,-20,47
133,-19,95
133,-18,142
133,-17,142
133,-16,47
133,-15,118
133,-14,95
133,-13,142
133,-12,190
133,-11,284
133,-10,332
133,-9,237
133,-8,95
133,-7,166
133,-6,190
133,-5,237
133,-4,308
133,-3,498
133,-2,450
133,-1,166
136,-20,113
136,-19,1035
136,-18,489
136,-17,809
136,-16,565
136,-15,828
136,-14,884
136,-13,565
136,-12,1016
136,-11,828
136,-10,903
136,-9,226
136,-8,245
136,-7,169
136,-6,395
136,-5,583
136,-4,734
136,-3,1167
136,-2,903
136,-1,1073
140,-20,20
140,-19,221
140,-18,101
140,-17,40
140,-16,40
140,-15,40
140,-14,40
140,-13,40
140,-12,40
140,-11,60
140,-10,20
140,-9,80
140,-8,40
140,-7,40
140,-6,40
140,-5,121
140,-3,241
140,-2,181
140,-1,60
156,-18,39
156,-17,235
156,-16,78
156,-15,39
156,-13,157
156,-12,118
156,-11,78
156,-10,157
156,-9,39
156,-8,118
156,-7,39
156,-6,314
156,-5,157
156,-4,275
156,-3,706
156,-2,471
156,-1,314
182,-20,50
182,-19,398
182,-18,100
182,-17,249
182,-16,50
182,-14,50
182,-12,50
182,-11,50
182,-9,50
182,-8,50
182,-5,50
182,-4,50
189,-20,39
189,-19,118
189,-18,157
189,-17,78
189,-16,39
189,-15,196
189,-12,353
189,-11,196
189,-10,39
189,-9,78
189,-8,157
189,-6,118
189,-5,235
189,-4,392
189,-3,1019
189,-2,588
189,-1,314
214,-20,19
214,-19,56
214,-18,65
214,-17,28
214,-15,46
214,-14,19
214,-13,9
214,-12,28
214,-11,65
214,-10,28
214,-9,37
214,-8,19
214,-7,19
214,-6,74
214,-5,37
214,-4,19
214,-3,177
214,-2,139
214,-1,56
221,-20,27
221,-19,165
221,-18,55
221,-17,165
221,-16,55
221,-15,27
221,-12,110
221,-11,82
221,-10,192
221,-9,27
221,-8,55
221,-7,55
221,-6,27
221,-5,165
221,-4,55
221,-3,219
221,-2,137
279,-20,14
279,-19,57
279,-17,14
279,-16,28
279,-15,28
279,-12,28
279,-11,57
279,-10,114
279,-9,14
279,-8,28
279,-6,14
279,-5,71
279,-4,242
279,-3,157
279,-2,171
279,-1,114
287,-19,144
287,-18,66
287,-17,105
287,-16,26
287,-15,26
287,-14,39
287,-13,52
